Ranking,country,PISA Score 2022
1,Singapore,560
2,Macau,535
3,Taiwan,533
4,Japan,533
5,South Korea,523
6,China,520
7,Estonia,516
8,Canada,506
9,Ireland,504
10,Switzerland,498
11,Australia,497
12,New Zealand,495
13,Finland,495
14,United Kingdom,494
15,Poland,492
16,Czech Republic,491
17,Denmark,491
18,United States of America,489
19,Sweden,488
20,Belgium,486
21,Austria,486
22,Slovenia,485
23,Latvia,484
24,Germany,482
25,Netherlands,480
26,France,478
27,Portugal,478
28,Hungary,477
29,Italy,477
30,Lithuania,477
31,Spain,477
32,Croatia,474
33,Norway,474
34,Vietnam,468
35,Israel,466
36,Turkey,462
37,Malta,459
38,Slovakia,458
39,Iceland,447
40,Serbia,442
41,Ukraine,440
42,Brunei,439
43,Greece,436
44,Chile,435
45,Romania,428
46,United Arab Emirates,427
47,Uruguay,425
48,Qatar,422
49,Bulgaria,414
50,Moldova,414
51,Kazakhstan,411
52,Mexico,407
53,Montenegro,405
54,Mongolia,405
55,Malaysia,404
56,Costa Rica,404
57,Cyprus,403
58,Peru,402
59,Colombia,401
60,Jamaica,397
61,Brazil,397
62,Argentina,395
63,Thailand,394
64,Saudi Arabia,387
65,Georgia,383
66,Azerbaijan,381
67,Panama,379
68,North Macedonia,376
69,Indonesia,369
70,Albania,367
71,Guatemala,364
72,Palestine,361
73,Paraguay,360
74,El Salvador,360
75,Jordan,359
76,Morocco,356
77,Philippines,353
78,Uzbekistan,352
79,Kosovo,351
80,Dominican Republic,350
81,Cambodia,337
