Indicator Name,Indicator Code,Year,Value
Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,1960,2.25755491005453
Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS,1960,0.907098812617846
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,1960,19626000000.0
"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,1960,6.74993947562994
Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),TM.VAL.MRCH.R3.ZS,1960,17.5043021376553
Merchandise imports from high-income economies (% of total merchandise imports),TM.VAL.MRCH.HI.ZS,1960,64.4064358670689
Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,1960,6.64165277942931
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1960,69.996
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,1960,49.0924565083938
"Population, total",SP.POP.TOTL,1960,180671000.0
"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,1960,52.1926350173971
"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,1960,1.10466345897032
"Population ages 70-74, male (% of male population)",SP.POP.7074.MA.5Y,1960,2.32848800396311
"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,1960,8.05760588068812
"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y,1960,3.15496373312195
"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,1960,4.6253267222371
"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,1960,6.03314480200736
"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,1960,6.91538135228268
"Population ages 25-29, male (% of male population)",SP.POP.2529.MA.5Y,1960,6.14981948127657
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,1960,59.9034098295236
"Population ages 15-64, female (% of female population)",SP.POP.1564.FE.ZS,1960,59.9959094877737
"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y,1960,9.64938698717755
