"United States"
"Category","dot_nsig","Mean performance","line","Best-fitting trend","x_maths","x_reading","x_scie","OECD Average (23 countries)"
"2000",504.41968,,504.41968,498.79675,,,,499.53403
"2000.25",,,503.65021,498.83365,,,,499.35751
"2000.5",,,502.88071,498.87057,,,,499.181
"2000.75",,,502.11121,498.90747,,,,499.00446
"2001",,,501.34174,498.94437,,,,498.82794
"2001.25",,,500.57227,498.98129,,,,498.65143
"2001.5",,,499.80276,499.01819,,,,498.47491
"2001.75",,,499.03326,499.05508,,,,498.2984
"2002",,,498.26379,499.09201,,,,498.12189
"2002.25",,,497.49432,499.12891,,,,497.94537
"2002.5",,,496.72482,499.1658,,,,497.76883
"2002.75",,,495.95532,499.20273,,,,497.59232
"2003",495.18585,,495.18585,499.23962,,,,497.4158
"2003.25",,,495.37921,499.27652,,,,497.25333
"2003.5",,,495.5726,499.31345,,,,497.09082
"2003.75",,,495.76596,499.35034,,,,496.92834
"2004",,,495.95935,499.38724,,,,496.76584
"2004.25",,,496.15271,499.42416,,,,496.60336
"2004.5",,,496.3461,499.46106,,,,496.44086
"2004.75",,,496.53946,499.49796,,,,496.27838
"2005",,,496.73285,499.53488,,,,496.11591
"2005.25",,,496.92621,499.57178,,,,495.9534
"2005.5",,,497.1196,499.60867,,,,495.79092
"2005.75",,,497.31296,499.6456,,,,495.62842
"2006",,,497.50635,499.6825,,,,495.46594
"2006.25",,,497.69971,499.71939,,,,495.79358
"2006.5",,,497.89307,499.75632,,,,496.12122
"2006.75",,,498.08646,499.79321,,,,496.44885
"2007",,,498.27982,499.83011,,,,496.77646
"2007.25",,,498.47321,499.86703,,,,497.1041
"2007.5",,,498.66656,499.90393,,,,497.43173
"2007.75",,,498.85995,499.94083,,,,497.75937
"2008",,,499.05331,499.97775,,,,498.08701
"2008.25",,,499.2467,500.01465,,,,498.41461
"2008.5",,,499.44006,500.05154,,,,498.74225
"2008.75",,,499.63345,500.08847,,,,499.06989
"2009",499.82681,,499.82681,500.12537,,,,499.39752
"2009.25",,,499.63971,500.16226,,,,499.56146
"2009.5",,,499.45264,500.19919,,,,499.7254
"2009.75",,,499.26553,500.23608,,,,499.88931
"2010",,,499.07846,500.27298,,515.35278,,500.05325
"2010.25",,,498.89136,500.30991,,,,500.21719
"2010.5",,,498.70428,500.3468,,,,500.3811
"2010.75",,,498.51718,500.3837,,,,500.54504
"2011",,,498.33008,500.42062,,,,500.70898
"2011.25",,,498.14301,500.45752,,,,500.87292
"2011.5",,,497.9559,500.49442,,,,501.03687
"2011.75",,,497.76883,500.53134,,,,501.20078
"2012",497.58173,,497.58173,500.56824,,,,501.36472
"2012.25",,,497.52783,500.60513,,,,501.02173
"2012.5",,,497.47394,500.64206,,,,500.67874
"2012.75",,,497.42007,500.67896,,,,500.33575
"2013",,,497.36618,500.71585,,,,499.99277
"2013.25",,,497.31229,500.75278,,,,499.64978
"2013.5",,,497.25842,500.78967,,,,499.30682
"2013.75",,,497.20453,500.82657,,,,498.96384
"2014",,,497.15063,500.86349,,,,498.62085
"2014.25",,,497.09674,500.90039,,,,498.27786
"2014.5",,,497.04285,500.93729,,,,497.93488
"2014.75",,,496.98898,500.97421,,,,497.59189
"2015",496.93509,,496.93509,501.01111,,,,497.2489
"2015.25",,,497.63657,501.048,,,,496.88129
"2015.5",,,498.33804,501.08493,,,,496.51364
"2015.75",,,499.03952,501.12183,,,,496.146
"2016",,,499.741,501.15872,,,,495.77838
"2016.25",,,500.44247,501.19565,,,,495.41077
"2016.5",,,501.14392,501.23254,,,,495.04312
"2016.75",,,501.8454,501.26944,,,,494.67548
"2017",,,502.54688,501.30637,,,,494.30786
"2017.25",,,503.24835,501.34326,,,,493.94025
"2017.5",,,503.94983,501.38016,,,,493.5726
"2017.75",,,504.65131,501.41708,,,,493.20496
"2018",505.35278,,505.35278,501.45398,,,,492.83734
"2018.25",,,505.26434,501.49088,,,,492.1557
"2018.5",,,505.17587,501.5278,,,,491.47403
"2018.75",,,505.08743,501.5647,,,,490.79239
"2019",,,504.99896,501.60159,,,,490.11072
"2019.25",,,504.91052,501.63852,,,,489.42908
"2019.5",,,504.82208,501.67542,,,,488.74741
"2019.75",,,504.73361,501.71231,,,,488.06577
"2020",,,504.64517,501.74924,,,,487.38409
"2020.25",,,504.55673,501.78613,,,,486.70245
"2020.5",,,504.46826,501.82303,,,,486.02081
"2020.75",,,504.37982,501.85995,,,,485.33914
"2021",,,504.29138,501.89685,,,,484.6575
"2021.25",,,504.20291,501.93375,,,,483.97583
"2021.5",,,504.11447,501.97067,,,,483.29419
"2021.75",,,504.026,502.00757,,,,482.61252
"2022",503.93756,,503.93756,502.04446,,,,481.93088
"2000.25",,,,,,,,
"2000.5",,,,,,,,
"2000.75",,,,,,,,
"2001",,,,,,,,
"2001.25",,,,,,,,
"2001.5",,,,,,,,
"2001.75",,,,,,,,
"2002",,,,,,,,
"2002.25",,,,,,,,
"2002.5",,,,,,,,
"2002.75",,,,,,,,
"2003",,482.88278,482.88278,483.85101,,,,502.125
"2003.25",,,482.17191,483.66275,,,,502.03668
"2003.5",,,481.461,483.47446,,,,501.94836
"2003.75",,,480.75012,483.28619,,,,501.86005
"2004",,,480.03925,483.09793,,,,501.77176
"2004.25",,,479.32834,482.90967,,,,501.68344
"2004.5",,,478.61746,482.72137,,,,501.59512
"2004.75",,,477.90659,482.53311,,,,501.50681
"2005",,,477.19568,482.34485,,,,501.41849
"2005.25",,,476.4848,482.15656,,,,501.3302
"2005.5",,,475.77393,481.96829,,,,501.24188
"2005.75",,,475.06302,481.78003,,,,501.15356
"2006",474.35214,,474.35214,481.59174,,,,501.06525
"2006.25",,,475.43918,481.40347,,,,501.11554
"2006.5",,,476.52621,481.21521,,,,501.16586
"2006.75",,,477.61322,481.02695,,,,501.21619
"2007",,,478.70026,480.83865,,,,501.26648
"2007.25",,,479.78729,480.65039,,,,501.31677
"2007.5",,,480.87433,480.46213,,,,501.3671
"2007.75",,,481.96136,480.27383,,,,501.41742
"2008",,,483.0484,480.08557,,,,501.46771
"2008.25",,,484.13544,479.89731,,,,501.51801
"2008.5",,,485.22244,479.70905,,,,501.56833
"2008.75",,,486.30948,479.52075,,,,501.61865
"2009",,487.39651,487.39651,479.33249,,,,501.66895
"2009.25",,,486.89404,479.14423,,,,501.41946
"2009.5",,,486.39157,478.95593,,,,501.17001
"2009.75",,,485.8891,478.76767,,,,500.92053
"2010",,,485.3866,478.57941,,,,500.67108
"2010.25",,,484.88412,478.39114,,,,500.4216
"2010.5",,,484.38165,478.20285,,,,500.17212
"2010.75",,,483.87918,478.01459,,,,499.92267
"2011",,,483.37671,477.82632,,,,499.67319
"2011.25",,,482.87421,477.63803,,,,499.42374
"2011.5",,,482.37173,477.44977,,,,499.17426
"2011.75",,,481.86926,477.26151,,,,498.9248
"2012",,481.36679,481.36679,477.07324,515.35278,,,498.67532
"2012.25",,,480.38861,476.88495,,,,498.41232
"2012.5",,,479.4104,476.69669,,,,498.14935
"2012.75",,,478.43222,476.50842,,,,497.88635
"2013",,,477.45401,476.32013,,,,497.62335
"2013.25",,,476.47583,476.13187,,,,497.36038
"2013.5",,,475.49762,475.9436,,,,497.09738
"2013.75",,,474.51944,475.75531,,,,496.83438
"2014",,,473.54126,475.56705,,,,496.57141
"2014.25",,,472.56305,475.37878,,,,496.30841
"2014.5",,,471.58487,475.19052,,,,496.04541
"2014.75",,,470.60666,475.00223,,,,495.78244
"2015",469.62848,,469.62848,474.81396,,,,495.51944
"2015.25",,,470.3465,474.6257,,,,495.58868
"2015.5",,,471.06451,474.43741,,,,495.6579
