Country Name,Country Code,Indicator Name,Indicator Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Region,IncomeGroup,SpecialNotes,TableName,Unnamed: 5
Aruba,ABW,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,High income,,Aruba,
Afghanistan,AFG,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,479683.0,,,,,,,,,,,,,,,,,,,553103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Asia,Low income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Afghanistan,
Angola,AGO,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,236414.0,258898.0,,,,,,,,,,,,,,,448531.0,,,,,,,,,,124313.0,149930.0,117887.0,72058.0,,,,,,,,,,,,,Sub-Saharan Africa,Lower middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2023. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Angola,
Albania,ALB,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,3715.0,,,,7271.0,6742.0,7814.0,5475.0,3926.0,3006.0,,,,,,,1574.0,3695.0,4758.0,6226.0,Europe & Central Asia,Upper middle income,,Albania,
Andorra,AND,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.0,198.0,192.0,187.0,160.0,154.0,205.0,164.0,140.0,,Europe & Central Asia,High income,,Andorra,
United Arab Emirates,ARE,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,7989.0,,12056.0,15931.0,12481.0,15636.0,18052.0,21590.0,24394.0,18865.0,17384.0,13357.0,9259.0,7333.0,8731.0,13838.0,15778.0,14165.0,18166.0,22142.0,15210.0,11210.0,10097.0,,,,,1968.0,10033.0,12658.0,,49915.0,48639.0,51749.0,49194.0,49564.0,40433.0,39375.0,40295.0,68952.0,,55774.0,40512.0,,,607.0,Middle East & North Africa,High income,,United Arab Emirates,
Argentina,ARG,"Children out of school, primary, male",SE.PRM.UNER.MA,96028.0,,,,65798.0,78547.0,,,,,,,,,,,,,,,,99867.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,Upper middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Argentina,
Armenia,ARM,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14814.0,11887.0,,9637.0,8142.0,6010.0,,,,4596.0,4105.0,1456.0,987.0,,,,,2153.0,3639.0,6108.0,7498.0,6286.0,Europe & Central Asia,Upper middle income,,Armenia,
Antigua and Barbuda,ATG,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.0,72.0,,,,,,,,,,Latin America & Caribbean,High income,,Antigua and Barbuda,
Australia,AUS,"Children out of school, primary, male",SE.PRM.UNER.MA,,20396.0,,33198.0,34349.0,12886.0,9434.0,,,3626.0,9123.0,10384.0,15066.0,16018.0,24402.0,25725.0,23518.0,22240.0,19714.0,18804.0,17416.0,19532.0,21947.0,24545.0,25238.0,43754.0,41398.0,44624.0,43278.0,44070.0,47841.0,8088.0,,16588.0,13978.0,8489.0,7176.0,,,,,30270.0,27116.0,,,,,,3085.0,3645.0,8118.0,5729.0,4640.0,,East Asia & Pacific,High income,,Australia,
Austria,AUT,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,,,,,,22560.0,,,,,,,,,,1981.0,3777.0,3255.0,3647.0,3820.0,3220.0,3253.0,3051.0,2218.0,2167.0,2430.0,2021.0,3533.0,2986.0,2126.0,1856.0,2141.0,3226.0,1967.0,1929.0,1855.0,1864.0,1441.0,2817.0,,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Austria,
Azerbaijan,AZE,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29822.0,38105.0,37274.0,36573.0,34765.0,31950.0,28984.0,36402.0,36214.0,30733.0,32323.0,23500.0,17642.0,185.0,,,,8799.0,12763.0,34346.0,33109.0,26875.0,13068.0,3747.0,Europe & Central Asia,Upper middle income,,Azerbaijan,
Burundi,BDI,"Children out of school, primary, male",SE.PRM.UNER.MA,,,,218128.0,,,,,262501.0,,271236.0,270680.0,260828.0,243458.0,231538.0,221270.0,218570.0,208777.0,209957.0,,,,,259402.0,,,,,,,307157.0,253067.0,241504.0,226040.0,229160.0,209122.0,110799.0,66609.0,23041.0,46682.0,26275.0,25815.0,35762.0,,63488.0,85042.0,103976.0,149231.0,183090.0,209267.0,211326.0,,,,Sub-Saharan Africa,Low income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1983-2023. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Burundi,
